Temperature,Relative_Humidity,Heat_Index,Precipitation,Wind_Speed,Cloud_Cover,Condition
29.3,60.05,33.6,0,18.4,8.8,Clear
27.4,66.46,34.7,0,22.3,15.6,Clear
28.9,60.05,33.6,0,27.7,10.5,Clear
28.9,66.41,35,0,24.1,15.3,Clear
28.9,69.22,36.9,0,29.5,31.4,Partially cloudy
28.5,65.28,36.9,0,31.3,15,Clear
28.4,61.21,34.1,0,36.7,17.3,Clear
27.4,72.19,33.7,0,25.9,31.3,Partially cloudy
28.5,68.2,35,0,27.7,20.5,Clear
29.6,63.47,35,0,27.7,27.6,Partially cloudy
29.4,67.75,36.9,0,22.3,38.8,Partially cloudy
30,62.36,35.9,0,22.3,38.8,Partially cloudy
29,70.91,42.6,0,27.7,21.5,Clear
29.5,60.79,34.7,0,27.7,18,Clear
28.7,67.36,35.8,0,27.7,15.5,Clear
29.5,65.63,35.6,0,25.9,32.7,Partially cloudy
30.5,59.41,37.4,0,27.7,30,Partially cloudy
29.1,67.45,35.6,0,27.7,26.9,Partially cloudy
29.6,63.15,35.4,0,27.7,11.4,Clear
29.6,62.63,35.4,0,27.7,16.3,Clear
29,66.08,36.2,0,27.7,24.2,Clear
27.8,69.66,34.3,0,27.7,41.4,Partially cloudy
29,63.16,34.6,0,36.6,19.9,Clear
29.5,66.14,38.4,0,22.3,28,Partially cloudy
30.1,62.97,38.4,0,18.4,33.6,Partially cloudy
29.6,65.08,35.6,0,25.9,31.6,Partially cloudy
28.3,72.99,36.3,0,27.7,49.1,Partially cloudy
29.4,64.63,37.7,13,24.1,33.8,"Rain, Partially cloudy"
29.4,65.49,37.4,2,22.3,45.5,"Rain, Partially cloudy"
28.5,67.57,37.7,0,27.3,40.6,Partially cloudy
29.1,62.9,37.4,0,27.5,26.5,Partially cloudy
30.4,60.46,37.3,0,22.3,37.1,Partially cloudy
30.2,62.23,36.2,0,24.1,33.6,Partially cloudy
29.6,66.02,37.4,5.1,24.1,49.9,"Rain, Partially cloudy"
29.6,68.76,38.2,0,22.3,34.9,Partially cloudy
27.9,77.31,38.4,45,18.4,39.9,"Rain, Partially cloudy"
28.9,72.14,38.2,16,18.4,57.8,"Rain, Partially cloudy"
28.4,75.21,35.9,0.7,22.3,63.5,"Rain, Partially cloudy"
28.7,73.51,37,0,22.3,51.5,Partially cloudy
28.5,74.88,38.5,0,9.4,60.8,Partially cloudy
26.4,84.88,38.2,40,18.4,67.7,"Rain, Partially cloudy"
29.7,68.54,38.2,0,22.3,35,Partially cloudy
28.6,69.66,36.9,0,18.4,42.3,Partially cloudy
29,66.42,35,0,18.4,31.2,Partially cloudy
28.5,68.06,34.3,0,18.4,42.4,Partially cloudy
28.4,70.49,33.4,0,18.4,30.7,Partially cloudy
28.7,69.39,35,0,18.4,42.7,Partially cloudy
27.7,78.71,36.7,7,20.5,53.6,"Rain, Partially cloudy"
29.4,69.7,38,6,14.8,49.4,"Rain, Partially cloudy"
26.9,85.53,36.5,68.1,9.4,61.3,"Rain, Partially cloudy"
28.2,77.93,38,7.5,25.9,52.2,"Rain, Partially cloudy"
27.7,81.25,36.7,17.4,18.4,64.6,"Rain, Partially cloudy"
28,77.85,36.3,15,18.4,58.1,"Rain, Partially cloudy"
28.2,76.43,36.7,2.3,14.8,62.3,"Rain, Partially cloudy"
28.4,78.76,36.7,6,16.6,53.1,"Rain, Partially cloudy"
27.6,80.51,40.7,5.1,14.8,62.5,"Rain, Partially cloudy"
28.7,75.79,39.8,0,20.5,47.5,Partially cloudy
29.4,72.57,38.2,0,18.4,47.6,Partially cloudy
28.1,77.4,38,13.19,22.3,57.4,"Rain, Partially cloudy"
28.9,73.24,37.6,0,18.4,44.4,Partially cloudy
29.3,76.55,39.6,13,37.1,56.9,"Rain, Partially cloudy"
27.5,80.25,37.4,11.1,33.5,54.7,"Rain, Partially cloudy"
28.5,78.28,39.4,0,18.4,46.3,Partially cloudy
26.7,85.12,36.7,13.7,16.6,64.2,"Rain, Partially cloudy"
28.5,76.45,37.2,18,22.3,57.1,"Rain, Partially cloudy"
27.6,80.89,35.2,44,20.5,57.8,"Rain, Partially cloudy"
28.5,79.33,37.2,37,31.3,51.7,"Rain, Partially cloudy"
27.6,82.21,39.3,24.6,27.4,61.7,"Rain, Partially cloudy"
28.8,76.43,39.4,2,27.7,41.6,"Rain, Partially cloudy"
29,74.13,38.2,13,18.4,55.5,"Rain, Partially cloudy"
28.1,81.22,38.6,3,14.8,64.4,"Rain, Partially cloudy"
27.3,83.17,38,71.05,22.3,52.5,"Rain, Partially cloudy"
26.9,82.93,34.5,26,27.7,61,"Rain, Partially cloudy"
27.2,83.66,35.6,8.5,13,53.6,"Rain, Partially cloudy"
27.8,80.87,38,0,18.4,37.8,Partially cloudy
28.5,74.04,36.7,0,20.5,43.8,Partially cloudy
27.3,79.51,36.7,4.6,27.7,54.3,"Rain, Partially cloudy"
28.7,78.7,38,0,18.4,49.4,Partially cloudy
28.4,75.62,38,1.2,25.9,75.5,"Rain, Overcast"
25.9,86.66,33.7,10.16,20.5,63.9,"Rain, Partially cloudy"
26.9,81.37,36.6,2,18.4,57.4,"Rain, Partially cloudy"
27.5,79.99,38,16.23,18.4,69.2,"Rain, Partially cloudy"
26.6,79.14,33.7,0,24.1,67.2,Partially cloudy
28.9,70.78,39.6,0,37.1,49.3,Partially cloudy
29.9,59.65,36.2,0,18.4,44.2,Partially cloudy
28.1,64.69,36.2,0,30.8,42.8,Partially cloudy
28.2,63.32,37.4,0,27,24.2,Clear
30.6,56.09,36.9,0,25.9,42.2,Partially cloudy
28.3,63.52,36.7,0,37.1,18.8,Clear
30.5,57.63,38.4,0,22.3,32.9,Partially cloudy
30.1,63.46,38.7,0,27.7,32.1,Partially cloudy
28.8,70.71,36.9,0,18.4,45.9,Partially cloudy
27.5,80.14,38,0,27.7,36.2,Partially cloudy
27,84.52,36.7,18,18.4,47.7,"Rain, Partially cloudy"
27.8,81.17,40.7,36.38,25.9,61.3,"Rain, Partially cloudy"
26.3,87.63,38,19.1,24.1,58.8,"Rain, Partially cloudy"
25.8,86.18,33.7,11.2,18.4,70.8,"Rain, Partially cloudy"
26.9,82.76,35.2,0,13,57.5,Partially cloudy
27,84.79,36.7,5,18.4,53.2,"Rain, Partially cloudy"
27.2,82.04,36,44.5,27.7,69.2,"Rain, Partially cloudy"
26.7,83.81,35.6,23.73,18.4,64.3,"Rain, Partially cloudy"
28.6,75.98,36.7,5.1,20.5,56.9,"Rain, Partially cloudy"
28.7,78.56,37.9,3,11.2,50,"Rain, Partially cloudy"
28.2,81.03,36.7,33,22.3,43.5,"Rain, Partially cloudy"
28.1,79.86,38,27,18.4,43.2,"Rain, Partially cloudy"
28,77.84,35.6,0,37.1,46.3,Partially cloudy
26.3,78.91,38.2,2.4,18.6,57.5,"Rain, Partially cloudy"
29.6,67.73,40.8,0,18.4,61,Partially cloudy
30.3,62.75,37.7,0,18.4,33.4,Partially cloudy
29.1,69.18,36.9,0.7,27.3,42.8,"Rain, Partially cloudy"
29.5,71.56,38,0,18.4,41.9,Partially cloudy
28.5,75.57,39.6,0,13,51.4,Partially cloudy
28.9,72.74,40.7,0,24.1,42,Partially cloudy
29.1,69.49,37.2,0,18.4,43.3,Partially cloudy
29.9,67.91,37.6,0,18.4,35,Partially cloudy
28.7,72.77,37.2,0.8,18.4,43.3,"Rain, Partially cloudy"
27.9,77.55,37.3,0.7,18.4,48.8,"Rain, Partially cloudy"
28.2,76.75,38.2,0.99,14.8,55,"Rain, Partially cloudy"
26.7,83.19,36.7,35.1,22,44.7,"Rain, Partially cloudy"
26,87.28,36.7,10.9,22.3,47.8,"Rain, Partially cloudy"
26.2,86.31,37,2,14.8,60,"Rain, Partially cloudy"
25,90.13,35.6,24.34,27.7,54.4,"Rain, Partially cloudy"
25.5,86.77,35.6,35.5,40.7,43.3,"Rain, Partially cloudy"
27,78.26,35.6,20.65,35.3,53.1,"Rain, Partially cloudy"
25.5,81.45,29.7,1.9,33.5,57.1,"Rain, Partially cloudy"
27.8,75.36,34.3,5.1,22.3,38,"Rain, Partially cloudy"
28.4,72.24,35.6,0,14.8,47,Partially cloudy
27.8,76.09,37.1,0,27.7,43.8,Partially cloudy
26.9,82.36,38.2,2.93,27.7,46.7,"Rain, Partially cloudy"
26.6,80.17,34.7,7,27.3,67.4,"Rain, Partially cloudy"
27.3,78.53,36.6,0,24.1,77.3,Overcast
27.6,81.25,38,5,18.4,57.5,"Rain, Partially cloudy"
26.6,85.72,35.2,3,18.3,62.5,"Rain, Partially cloudy"
26.9,85.33,36,15.6,27.5,64.7,"Rain, Partially cloudy"
26,89,37.9,58,16.6,70.6,"Rain, Partially cloudy"
26.3,86.61,35.6,42,22.1,60,"Rain, Partially cloudy"
26.6,84.3,36.9,2.9,18.4,63.6,"Rain, Partially cloudy"
28.8,74.48,36.7,0,18.4,52.5,Partially cloudy
28.4,83.5,36.3,1,13,67.7,"Rain, Partially cloudy"
28.3,82.72,37.9,0,14.8,55.3,Partially cloudy
28.4,81.54,39.4,0,18.4,50.7,Partially cloudy
28.1,78.21,39.4,23,27.7,59,"Rain, Partially cloudy"
27.1,86.05,39.3,27,22.3,59.3,"Rain, Partially cloudy"
27.6,82.55,36.7,1.5,14.8,58,"Rain, Partially cloudy"
28,80.78,36.7,43,18.4,55.4,"Rain, Partially cloudy"
25.5,89.81,34.8,26.1,14.7,62.6,"Rain, Partially cloudy"
25.7,90.93,36,60.3,14.8,54.7,"Rain, Partially cloudy"
26.5,83.26,37.9,30,16.6,74,"Rain, Partially cloudy"
25.2,84.17,34.3,1.6,18.4,77,"Rain, Overcast"
26.9,79.02,36.9,8.7,27.7,70.7,"Rain, Partially cloudy"
26.5,84.53,36.7,19.7,18.4,66.7,"Rain, Partially cloudy"
27.6,77.89,38.2,1,27.7,61,"Rain, Partially cloudy"
25.9,84.26,35.6,9,27.7,58.5,"Rain, Partially cloudy"
27.2,77.01,36.9,38.8,42.7,57.1,"Rain, Partially cloudy"
26.6,81.09,36.7,53.9,27.7,73.1,"Rain, Partially cloudy"
26.8,81.44,34.3,1.7,40.7,77.3,"Rain, Overcast"
27.7,74.07,35.9,0.5,55,75,"Rain, Partially cloudy"
27.7,73.16,34.7,2.94,29.5,68,"Rain, Partially cloudy"
28.5,73,37.1,0.7,37.1,56.4,"Rain, Partially cloudy"
27.9,73.85,36.9,0.7,33.5,54.1,"Rain, Partially cloudy"
28.6,67.99,37.1,4.1,25.9,61.7,"Rain, Partially cloudy"
28.7,71.09,36.7,0,27.7,52.3,Partially cloudy
27.8,76.8,36.9,10,31.3,55.7,"Rain, Partially cloudy"
27.3,75.55,36.2,8.33,22.3,50.6,"Rain, Partially cloudy"
26.6,80.16,35.9,8,27.7,58.5,"Rain, Partially cloudy"
27.5,73.05,33.8,29,37.1,46.5,"Rain, Partially cloudy"
27.3,76.46,36.7,0,18.4,41.8,Partially cloudy
27.9,75.43,35.2,0,14.8,41.8,Partially cloudy
27.1,74.63,35.2,0,18.3,53.9,Partially cloudy
26.3,84.08,33.1,46,14.8,63.1,"Rain, Partially cloudy"
28.4,74.08,35.2,0,14.8,38.5,Partially cloudy
27.3,82.29,37.9,20,29.5,59,"Rain, Partially cloudy"
