Date,Temperature,HeatIndex,Precipitation,WindSpeed,Conditions,Visibility,CloudCover,RelativeHumidity
6/21/1973,26.6,34.3,0,33.5,Clear,19.8,20.4,72.33
6/22/1973,27.3,33.8,0,11.2,Partially cloudy,12,50,73.42
6/23/1973,27.7,35.6,0,18.4,Partially cloudy,14.8,48.5,71.95
6/25/1973,23.6,30.8,0,3.6,Clear,11.9,25,94.26
6/26/1973,26.6,35.9,0,11.2,Partially cloudy,14.9,35,74.8
6/27/1973,27.6,35.9,0,11.2,Clear,11,7.7,75.23
6/28/1973,28.3,36.9,0,18.4,Clear,11.7,22.5,71.88
6/29/1973,25.1,31.4,0,14.8,Partially cloudy,12,57.2,81.2
6/30/1973,28.8,33.8,0,16.6,Partially cloudy,13,42.5,72.56
7/1/1973,27.6,35.6,0,5.4,Overcast,9,95,78.33
7/2/1973,29.1,37.9,0,7.4,Partially cloudy,13.4,53.8,68.18
7/3/1973,27.3,39,0,13,Partially cloudy,14.6,52.2,74.58
7/4/1973,25.1,34.7,0,18.4,Partially cloudy,16.2,49,80.46
7/5/1973,24.8,32.5,0,16.6,Clear,18.2,20,69.31
7/6/1973,26.5,34.7,0,14.8,Partially cloudy,13.4,44,68.48
7/7/1973,25.8,35.2,0,20.5,Partially cloudy,12.7,65.1,81.38
7/8/1973,27.6,32.1,0,7.6,Partially cloudy,11.5,50,81.29
7/10/1973,32.1,38,0,3.6,Partially cloudy,15,50,62.73
7/17/1973,27.1,35.2,0,14.5,Partially cloudy,14.3,49.7,84.24
7/18/1973,30.1,35.2,0,14.8,Partially cloudy,16,40,70.3
7/19/1973,26.3,36.7,0,22.3,Partially cloudy,15.2,27.2,77.22
7/20/1973,26.8,34.7,0,24.1,Clear,14.9,20.1,75.62
7/21/1973,28.3,35.6,0,16.6,Partially cloudy,15.3,45,70.32
7/22/1973,30.6,34.7,0,22.3,Clear,15.5,10,58.71
7/24/1973,25.3,36.7,0,24.1,Partially cloudy,16,52.2,75.98
7/26/1973,27.3,32,0,16.6,Clear,18.1,10,63.02
