Temperature,Relative_Humidity,Condition
27.8,77.53,5
28.3,77.45,5
26.5,84.22,5
28.5,72.93,5
27.1,83.92,5
27.9,78.88,5
30.6,66.39,5
30.3,64.12,5
30.3,63.96,2
29.4,65.98,2
27.3,74.31,5
28,75.64,2
28.6,73.54,2
29.2,72.3,5
29.8,69.61,2
29.9,69.99,2
29.7,68.71,5
28.7,75.4,5
28.7,75.28,5
30.7,66.2,2
29.5,69.27,2
29.8,69.43,2
29.3,67.91,2
30.2,64.17,2
27.9,81.15,5
26.5,87.08,5
27.2,79.28,5
26.2,85.26,5
26.6,86.96,5
27.2,82.98,5
28.2,79.06,5
29.5,74.65,2
28.7,77.1,2
29.4,74.36,5
27.7,80.85,5
27.7,79.18,2
27.3,78.35,2
28.5,75.24,5
27.5,78.38,5
26.8,81.49,5
26.2,84.54,5
25.6,88.89,5
26.1,81.99,5
27.4,76.16,5
28.2,74.36,5
28.3,70.62,2
28,71.12,5
27.6,72.34,2
26.3,75.94,5
27.6,70.27,2
28.3,71.04,5
28.1,70.64,2
27.4,79.64,5
27,82.03,5
26.4,83.03,2
27.6,81.95,5
26.7,86.87,5
26,85.47,5
26.6,82.06,5
26.7,84.18,5
27.3,80.12,5
27.3,78.55,5
28.3,75.19,5
27.5,79.26,2
28.7,74.33,5
27.8,78.64,5
27.7,76.76,2
27.4,79.51,5
27.1,82.81,5
27.4,81.44,5
28.2,77.22,5
27.3,81.77,5
25.2,89.1,5
25.5,86.41,5
28.1,76.63,5
27.7,79,5
26.5,84.69,5
27.7,80.24,5
26.9,80.76,5
28,75.37,2
27.5,80.5,5
29.3,70.51,5
27.2,79.18,2
28.8,73.23,2
28.3,76.77,5
27,82.72,5
26.8,84.86,5
27.7,81.87,5
27.6,82.31,2
27.9,84.18,5
27.3,82.44,5
28.6,77.77,5
26.3,84.21,5
26.5,82.7,5
26.5,84.59,5
27.2,82.44,5
26.2,90.91,5
25.9,90.13,5
26.7,85.14,5
27,84.19,5
26.2,84.3,5
24.4,90.33,5
27,76.13,5
26.8,82.79,5
26.9,81.47,2
27,83.61,5
26.6,82.47,5
26.3,83.85,5
26,83.9,5
27.4,72.92,5
26.1,81.73,5
26.1,83.83,5
25.4,87.99,4
27.4,78.69,5
28,73.19,5
26.8,79.21,5
26,83.43,5
26.9,80.12,5
25.7,88.98,2
28.2,76.47,2
27.4,79.43,5
29,71.27,2
27.5,78.3,5
27.8,76.9,5
25.6,83.59,5
27.7,77.86,5
27.2,81.39,5
26.7,85.17,5
26.8,81.05,5
28.3,78.53,2
28.3,79.27,5
27.5,81.19,5
