,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t),var11(t)
54,0.3256706,0.7191781,0.44444442,0.53188604,0.059496753,0.019872556,0.44214708,0.15654953,0.5237614,0.66793287,1.0,0.3256706,0.8561644,0.45555544,0.5237449,0.012987013,0.014040393,0.87582356,0.15335464,0.562184,0.684916,1.0
55,0.3256706,0.8561644,0.45555544,0.5237449,0.012987013,0.014040393,0.87582356,0.15335464,0.562184,0.684916,1.0,0.2758621,0.75684935,0.34444427,0.49796474,0.18262987,0.019872556,0.77917653,0.12460065,0.55611724,0.7689384,1.0
56,0.2758621,0.75684935,0.34444427,0.49796474,0.18262987,0.019872556,0.77917653,0.12460065,0.55611724,0.7689384,1.0,0.23754787,0.7260274,0.2555554,0.46540028,0.31128246,0.029808834,0.77844125,0.15654953,0.63801813,0.8270389,1.0
57,0.23754787,0.7260274,0.2555554,0.46540028,0.31128246,0.029808834,0.77844125,0.15654953,0.63801813,0.8270389,1.0,0.3141762,0.8253425,0.5,0.4938942,0.05275974,0.024084672,0.81852937,0.17571886,0.5136501,0.6339663,1.0
58,0.3141762,0.8253425,0.5,0.4938942,0.05275974,0.024084672,0.81852937,0.17571886,0.5136501,0.6339663,1.0,0.2758621,0.7431507,0.42222214,0.49796474,0.0028409092,0.015984448,0.86226475,0.18210863,0.5328615,0.6918435,1.0
59,0.2758621,0.7431507,0.42222214,0.49796474,0.0028409092,0.015984448,0.86226475,0.18210863,0.5328615,0.6918435,1.0,0.2758621,0.880137,0.48888898,0.48303935,0.0028409092,0.019872556,0.8804412,0.21405752,0.5631951,0.62927365,1.0
60,0.2758621,0.880137,0.48888898,0.48303935,0.0028409092,0.019872556,0.8804412,0.21405752,0.5631951,0.62927365,1.0,0.2758621,0.88698626,0.5666666,0.49796474,0.008116883,0.029916838,0.87058824,0.19808306,0.55510616,0.5611173,1.0
61,0.2758621,0.88698626,0.5666666,0.49796474,0.008116883,0.029916838,0.87058824,0.19808306,0.55510616,0.5611173,1.0,0.23754787,0.75342464,0.35555553,0.47761196,0.017857144,0.036181014,0.8645,0.20127799,0.5429727,0.73094964,1.0
62,0.23754787,0.75342464,0.35555553,0.47761196,0.017857144,0.036181014,0.8645,0.20127799,0.5429727,0.73094964,1.0,0.23754787,0.8561644,0.26666665,0.46540028,0.0,0.017928502,0.8014706,0.1629393,0.29221433,0.7883798,0.4
63,0.23754787,0.8561644,0.26666665,0.46540028,0.0,0.017928502,0.8014706,0.1629393,0.29221433,0.7883798,0.4,0.23754787,0.7910959,0.32222223,0.47761196,0.0,0.019872556,0.8609706,0.23322685,0.44388267,0.80513954,0.4
