Date,MaxTemp,MinTemp,Temp,HeatIndex,Precipitation,WindSpeed,WindDirection,Visibility,CloudCover,RelativeHumidity,Conditions
3/8/2000 0:00,32.1,21.2,27.2,36.9,7.1,18.4,277.33,9.6,42.4,78.32,"Rain, Partially cloudy"
3/9/2000 0:00,31.7,25,27.4,36.4,0,18.4,266.43,9.7,40,79.54,Partially cloudy
3/10/2000 0:00,32.1,24.1,27.8,36.9,0,14.8,282.22,9.3,46.7,78.21,Partially cloudy
3/11/2000 0:00,30.2,25,27.7,35.3,5,14.8,208.33,7.1,46.3,81.45,"Rain, Partially cloudy"
3/12/2000 0:00,30.1,21.2,27,35.2,2,14.8,156.67,9.7,49.4,84.55,"Rain, Partially cloudy"
3/13/2000 0:00,31.1,21.5,26.5,35.6,35.69,29.5,286.67,7.7,60,82.57,"Rain, Partially cloudy"
3/14/2000 0:00,33.2,22.1,27.8,37.1,10.9,24.1,279.5,9.5,48.3,74.47,"Rain, Partially cloudy"
3/15/2000 0:00,31.2,22.4,27.7,34.8,0.7,27,260.42,9.3,62.2,72.03,"Rain, Partially cloudy"
3/16/2000 0:00,33.1,24.7,29.2,39.4,0,27.7,293.13,9.9,50,69.76,Partially cloudy
3/17/2000 0:00,33.1,21.8,28.6,38.2,0,37.1,268.28,10.2,47.8,72.22,Partially cloudy
3/18/2000 0:00,33.1,20.2,27.3,38.2,14.9,27.7,233.75,9.5,45.8,78.46,"Rain, Partially cloudy"
3/19/2000 0:00,31.1,24.6,27.8,36.7,6,14.8,214.17,8.3,59.3,80.37,"Rain, Partially cloudy"
3/20/2000 0:00,31.6,24.9,28.4,36.7,0,14.8,136.67,8.7,45.8,76.05,Partially cloudy
3/21/2000 0:00,32.2,24.1,27.3,36.9,0.2,14.8,210,7.7,45.7,79.73,"Rain, Partially cloudy"
3/22/2000 0:00,31.1,23.1,27,36.7,78,14.8,117.27,8.5,44.7,82.27,"Rain, Partially cloudy"
3/23/2000 0:00,30.1,23.1,27.4,35.2,0,14.8,126.67,9.4,23.9,80.4,Clear
3/24/2000 0:00,31.1,25,27.6,35.6,0,14.8,119.17,9.4,35,83.05,Partially cloudy
3/25/2000 0:00,30.4,24.7,27.3,35.5,0.7,18.4,277.5,9.6,56,79.47,"Rain, Partially cloudy"
3/26/2000 0:00,32.1,24.1,27.9,35.9,11,16.6,144.21,9.1,43.5,76.95,"Rain, Partially cloudy"
3/27/2000 0:00,30.1,24.1,26,35.2,5.7,27.3,231.14,7.4,58.9,86.02,"Rain, Partially cloudy"
