Date,Actual Conditions,Predict Conditions
2015-12-16 17:00:00,Partially cloudy,Partially cloudy
2015-12-17 07:00:00,Partially cloudy,Partially cloudy
2015-12-17 08:00:00,Partially cloudy,Partially cloudy
2015-12-17 09:00:00,Partially cloudy,Partially cloudy
2015-12-17 10:00:00,Partially cloudy,Partially cloudy
2015-12-17 11:00:00,Partially cloudy,Partially cloudy
2015-12-17 12:00:00,Partially cloudy,Partially cloudy
2015-12-17 13:00:00,Overcast,Partially cloudy
2015-12-17 14:00:00,Partially cloudy,Overcast
2015-12-17 15:00:00,Partially cloudy,Partially cloudy
2015-12-17 16:00:00,Partially cloudy,Partially cloudy
2015-12-17 17:00:00,Partially cloudy,Partially cloudy
2015-12-17 18:00:00,Partially cloudy,Partially cloudy
2015-12-17 19:00:00,Partially cloudy,Partially cloudy
2015-12-17 20:00:00,Partially cloudy,Partially cloudy
2015-12-18 07:00:00,Partially cloudy,Partially cloudy
2015-12-18 08:00:00,Partially cloudy,Partially cloudy
2015-12-18 09:00:00,Partially cloudy,Partially cloudy
2015-12-18 10:00:00,Partially cloudy,Partially cloudy
2015-12-18 11:00:00,Partially cloudy,Partially cloudy
2015-12-18 12:00:00,Partially cloudy,Partially cloudy
2015-12-18 13:00:00,Partially cloudy,Partially cloudy
2015-12-18 14:00:00,Partially cloudy,Partially cloudy
2015-12-18 15:00:00,Partially cloudy,Partially cloudy
2015-12-18 16:00:00,"Rain, Overcast",Partially cloudy
2015-12-18 17:00:00,Partially cloudy,Clear
2015-12-19 08:00:00,Partially cloudy,Partially cloudy
2015-12-19 09:00:00,Partially cloudy,Partially cloudy
2015-12-19 10:00:00,Partially cloudy,Partially cloudy
2015-12-19 11:00:00,Partially cloudy,Partially cloudy
2015-12-19 12:00:00,Partially cloudy,Partially cloudy
2015-12-19 13:00:00,Partially cloudy,Partially cloudy
2015-12-19 15:00:00,Partially cloudy,Partially cloudy
2015-12-19 16:00:00,Partially cloudy,Partially cloudy
2015-12-20 07:00:00,Partially cloudy,Partially cloudy
2015-12-20 10:00:00,Partially cloudy,"Rain, Partially cloudy"
2015-12-20 12:00:00,Overcast,Partially cloudy
2015-12-20 13:00:00,Partially cloudy,Overcast
2015-12-20 14:00:00,Partially cloudy,Partially cloudy
2015-12-20 15:00:00,Partially cloudy,Partially cloudy
2015-12-20 16:00:00,Partially cloudy,Partially cloudy
2015-12-20 17:00:00,Partially cloudy,Partially cloudy
2015-12-20 22:00:00,Partially cloudy,Partially cloudy
2015-12-20 23:00:00,Partially cloudy,Partially cloudy
2015-12-21 00:00:00,Partially cloudy,Partially cloudy
2015-12-21 06:00:00,Partially cloudy,Partially cloudy
2015-12-21 07:00:00,Partially cloudy,Partially cloudy
2015-12-21 10:00:00,Partially cloudy,Partially cloudy
