Date,Conditions
2011-12-21 09:00:00,Partially cloudy
2011-12-21 10:00:00,Partially cloudy
2011-12-21 11:00:00,Partially cloudy
2011-12-21 12:00:00,Partially cloudy
2011-12-21 13:00:00,Partially cloudy
2011-12-21 15:00:00,Partially cloudy
2011-12-21 16:00:00,Partially cloudy
2011-12-21 17:00:00,Overcast
2011-12-21 20:00:00,Partially cloudy
2011-12-22 00:00:00,Partially cloudy
2011-12-22 12:00:00,Partially cloudy
2011-12-22 13:00:00,Partially cloudy
2011-12-22 14:00:00,Partially cloudy
2011-12-22 15:00:00,Partially cloudy
2011-12-22 16:00:00,Partially cloudy
2011-12-22 17:00:00,Overcast
2011-12-22 20:00:00,Partially cloudy
2011-12-22 21:00:00,Partially cloudy
2011-12-22 22:00:00,Partially cloudy
2011-12-23 10:00:00,Partially cloudy
2011-12-23 11:00:00,Partially cloudy
2011-12-23 12:00:00,Partially cloudy
2011-12-23 13:00:00,Partially cloudy
2011-12-23 14:00:00,Partially cloudy
2011-12-23 15:00:00,Partially cloudy
2011-12-23 16:00:00,Partially cloudy
2011-12-23 17:00:00,Partially cloudy
2011-12-23 18:00:00,Partially cloudy
2011-12-24 11:00:00,Partially cloudy
2011-12-24 12:00:00,Partially cloudy
2011-12-24 13:00:00,Partially cloudy
2011-12-24 14:00:00,Partially cloudy
2011-12-25 07:00:00,Partially cloudy
2011-12-25 08:00:00,Clear
2011-12-25 09:00:00,Partially cloudy
2011-12-25 10:00:00,Partially cloudy
2011-12-25 11:00:00,Partially cloudy
2011-12-25 13:00:00,Partially cloudy
2011-12-25 14:00:00,Partially cloudy
2011-12-25 15:00:00,Partially cloudy
2011-12-26 08:00:00,Partially cloudy
2011-12-26 09:00:00,Partially cloudy
2011-12-26 10:00:00,Partially cloudy
2011-12-26 11:00:00,Partially cloudy
2011-12-26 12:00:00,Partially cloudy
2011-12-26 13:00:00,Partially cloudy
2011-12-26 14:00:00,Clear
2011-12-26 15:00:00,Partially cloudy
2011-12-27 07:00:00,Partially cloudy
2011-12-27 10:00:00,Partially cloudy
2011-12-27 12:00:00,Partially cloudy
2011-12-27 13:00:00,Partially cloudy
2011-12-27 15:00:00,Partially cloudy
2011-12-27 16:00:00,Partially cloudy
2011-12-27 17:00:00,Partially cloudy
2011-12-27 18:00:00,Partially cloudy
2011-12-27 19:00:00,Partially cloudy
2011-12-27 20:00:00,Partially cloudy
2011-12-27 21:00:00,Partially cloudy
2011-12-27 22:00:00,Partially cloudy
2011-12-27 23:00:00,Partially cloudy
2011-12-28 00:00:00,Partially cloudy
2011-12-28 01:00:00,Partially cloudy
2011-12-28 07:00:00,Partially cloudy
2011-12-28 08:00:00,Partially cloudy
2011-12-28 10:00:00,Partially cloudy
2011-12-28 11:00:00,Partially cloudy
2011-12-28 13:00:00,Partially cloudy
2011-12-28 16:00:00,Partially cloudy
2011-12-28 17:00:00,Partially cloudy
2011-12-28 19:00:00,Partially cloudy
2011-12-28 20:00:00,Partially cloudy
2011-12-28 21:00:00,Partially cloudy
2011-12-28 22:00:00,Partially cloudy
2011-12-29 01:00:00,Partially cloudy
2011-12-29 08:00:00,Partially cloudy
2011-12-29 10:00:00,Partially cloudy
2011-12-29 11:00:00,Partially cloudy
2011-12-29 12:00:00,Partially cloudy
2011-12-29 13:00:00,Partially cloudy
2011-12-29 14:00:00,Partially cloudy
2011-12-29 15:00:00,Partially cloudy
2011-12-29 16:00:00,Partially cloudy
2011-12-29 20:00:00,Partially cloudy
2011-12-29 21:00:00,Partially cloudy
2011-12-29 22:00:00,Partially cloudy
2011-12-29 23:00:00,Partially cloudy
2011-12-30 01:00:00,Partially cloudy
2011-12-30 02:00:00,Clear
2011-12-30 03:00:00,Partially cloudy
2011-12-30 07:00:00,Overcast
2011-12-30 08:00:00,Partially cloudy
2011-12-30 09:00:00,Partially cloudy
2011-12-30 10:00:00,Partially cloudy
2011-12-30 12:00:00,Overcast
2011-12-30 16:00:00,Partially cloudy
2011-12-30 17:00:00,Overcast
2011-12-30 19:00:00,"Rain, Partially cloudy"
2011-12-30 20:00:00,Overcast
2011-12-31 08:00:00,Partially cloudy
2011-12-31 09:00:00,Partially cloudy
2011-12-31 10:00:00,Partially cloudy
2011-12-31 11:00:00,Partially cloudy
2011-12-31 12:00:00,Partially cloudy
2011-12-31 15:00:00,Partially cloudy
2011-12-31 16:00:00,"Rain, Partially cloudy"
